id,text,label,cleaned_text,stemmed_text
196,تجربة رائعة بكل المقاييس,positive,تجربه رائعه بكل المقاييس,جرب رئع بكل مقاييس
388,منتج جميلة وانصح الجميع فيه,positive,منتج جميله وانصح الجميع فيه,نتج جمل نصح جمع فيه
435,االمنتج جميل نفس االوصف باالضبط,positive,االمنتج جميل نفس االوصف باالضبط,نتج جمل نفس وصف ضبط
332,والله الخدمة زفت جدا ما انصح,negative,والله الخدمه زفت جدا ما انصح,ولل خدم زفت جدا ما نصح
32,الجودة جميل والسعر ممتاز,positive,الجوده جميل والسعر ممتاز,جود جمل سعر متز
372,افضل مكان في المنطقة الخدمة حلو,positive,افضل مكان في المنطقه الخدمه حلو,فضل كان في طقه خدم حلو
241,اسعار مبالغ فيها والخدمة مو حلو,negative,اسعار مبالغ فيها والخدمه مو حلو,سعر بلغ فيه خدم مو حلو
31,انصحكم فيه المكان روعة بزاف,positive,انصحكم فيه المكان روعه بزاف,نصح فيه كان روع بزف
210,اسعار مبالغ فيها والخدمة سيئة,negative,اسعار مبالغ فيها والخدمه سيئه,سعر بلغ فيه خدم سيئ
184,تجربة ردية لن ااعود مرة ثاانية,negative,تجربه رديه لن ااعود مره ثاانيه,جرب رده لن اعد مره ثان
254,الاكل طيب مررررة حلو والسعر معقول,positive,الاكل طيب مره حلو والسعر معقول,اكل طيب مره حلو سعر عقل
220,انصحكم فيه المكان رائعة بزاف,positive,انصحكم فيه المكان رائعه بزاف,نصح فيه كان رئع بزف
89,المكان فاشلة والاسعار غالية بزاف,negative,المكان فاشله والاسعار غاليه بزاف,كان فشل سعر غلي بزف
366,المنتج سيئة ما يستاهل فلوسه,negative,المنتج سيئه ما يستاهل فلوسه,نتج سيئ ما تهل فلس
44,المكان خايس والنظافة صفر,negative,المكان خايس والنظافه صفر,كان خيس نظف صفر
310,جودة فاشلة والسعر مرتفع,negative,جوده فاشله والسعر مرتفع,جود فشل سعر رفع
185,الله يعطيهم العافية خدمتهم رائعة,positive,الله يعطيهم العافيه خدمتهم رائعه,الل يعط عفي خدم رئع
344,المنتج خايسة ما يستاهل فلوسه,negative,المنتج خايسه ما يستاهل فلوسه,نتج خيس ما تهل فلس
86,تعامل راقي جدااا والخدمة ممتاز,positive,تعامل راقي جدا والخدمه ممتاز,عمل رقي جدا خدم متز
37,خدمة العملاء تمام والتوصيل سريع,positive,خدمه العملاء تمام والتوصيل سريع,خدم عملاء تمم وصل سرع
419,المكان ماشي والاسعار غالية بزاف,negative,المكان ماشي والاسعار غاليه بزاف,كان اشي سعر غلي بزف
343,توصيل ردي وصل متاخر جدا,negative,توصيل ردي وصل متاخر جدا,وصل ردي وصل تخر جدا
165,خدمة االعملااء خراافي واالتوصيل سريع,positive,خدمه االعملااء خراافي واالتوصيل سريع,خدم االعملااء خراف واالتوصيل سرع
495,والله المكان ممتازة ما تنلقى زيه في صنعاء,positive,والله المكان ممتازه ما تنلقي زيه في صنعاء,ولل كان متز ما نلق زيه في صنعاء
247,المنتج تمام نفس الوصف بالضبط,positive,المنتج تمام نفس الوصف بالضبط,نتج تمم نفس وصف ضبط
432,ما عندي كلام اقوله غير ممتاز,positive,ما عندي كلام اقوله غير ممتاز,ما عند كلم اقل غير متز
68,اول مرة اجرب وطلع قمة جدا,positive,اول مره اجرب وطلع قمه جدا,اول مره جرب طلع قمه جدا
82,المنتج تعبانة غير الصور,negative,المنتج تعبانه غير الصور,نتج تعب غير صور
494,منتج طيب واانصح االجميع فيه,positive,منتج طيب واانصح االجميع فيه,نتج طيب نصح جمع فيه
165,والله الخدمة مو حلو جدا ما انصح,negative,والله الخدمه مو حلو جدا ما انصح,ولل خدم مو حلو جدا ما نصح
325,تعامل راقي وخدمة رائعة,positive,تعامل راقي وخدمه رائعه,عمل رقي خدم رئع
64,اسعار مبالغ فيها والخدمة ماشي,negative,اسعار مبالغ فيها والخدمه ماشي,سعر بلغ فيه خدم اشي
418,تاخير كبير والتعامل تعبان,negative,تاخير كبير والتعامل تعبان,اخر كبر عمل تعب
144,زرت المكان امس والحمد لله كان تمام,positive,زرت المكان امس والحمد لله كان تمام,زرت كان امس حمد لله كان تمم
362,تاخير كبير والتعامل خايسة,negative,تاخير كبير والتعامل خايسه,اخر كبر عمل خيس
469,تعاامل تعباانة ماا يحترمون االزبون,negative,تعاامل تعباانه ماا يحترمون االزبون,عامل تعب ماا حرم لزب
155,اسعار مبالغ فيها والخدمة تعبانة,negative,اسعار مبالغ فيها والخدمه تعبانه,سعر بلغ فيه خدم تعب
75,المنتج فاشلة غير الصور,negative,المنتج فاشله غير الصور,نتج فشل غير صور
238,خدمة العملاء مو زين لا يردون,negative,خدمه العملاء مو زين لا يردون,خدم عملاء مو زين لا يرد
485,المنتج وصل متاخر والجودة خايسة,negative,المنتج وصل متاخر والجوده خايسه,نتج وصل تخر جود خيس
104,اافضل مكاان في االمنطقة االخدمة راائع,positive,اافضل مكاان في االمنطقه االخدمه راائع,فضل مكا في االمنطقه خدم راع
471,الاكل خايسة والخدمة اسوا,negative,الاكل خايسه والخدمه اسوا,اكل خيس خدم اسا
87,اول مرة اجرب وطلع جميل جدا,positive,اول مره اجرب وطلع جميل جدا,اول مره جرب طلع جمل جدا
37,المنتج مو حلو ما يستاهل فلوسه,negative,المنتج مو حلو ما يستاهل فلوسه,نتج مو حلو ما تهل فلس
128,تعاامل ردي ماا يحترمون االزبون,negative,تعاامل ردي ماا يحترمون االزبون,عامل ردي ماا حرم لزب
294,جودة فاشلة والسعر مرتفع,negative,جوده فاشله والسعر مرتفع,جود فشل سعر رفع
222,ما شاء الله الخدمة رائعة والطاقم محترم جدا,positive,ما شاء الله الخدمه رائعه والطاقم محترم جدا,ما شاء الل خدم رئع طقم حرم جدا
121,المكان تعبان والنظافة صفر,negative,المكان تعبان والنظافه صفر,كان تعب نظف صفر
298,زرت المكان امس والحمد لله كان خرافية,positive,زرت المكان امس والحمد لله كان خرافيه,زرت كان امس حمد لله كان خرف
109,اول مرة اجرب وطلع خرافية جدا,positive,اول مره اجرب وطلع خرافيه جدا,اول مره جرب طلع خرف جدا
492,ماا عندي كلاام ااقوله غير ممتاازة,positive,ماا عندي كلاام ااقوله غير ممتاازه,ماا عند كلام اقل غير ممتااز
100,افضل مكان في المنطقة الخدمة رائعة,positive,افضل مكان في المنطقه الخدمه رائعه,فضل كان في طقه خدم رئع
186,اسعار مبالغ فيها والخدمة سيئة,negative,اسعار مبالغ فيها والخدمه سيئه,سعر بلغ فيه خدم سيئ
430,والله الخدمة خايسة جدا ما انصح,negative,والله الخدمه خايسه جدا ما انصح,ولل خدم خيس جدا ما نصح
341,جودة ردي واالسعر مرتفع,negative,جوده ردي واالسعر مرتفع,جود ردي سعر رفع
149,جودة زفت والسعر مرتفع,negative,جوده زفت والسعر مرتفع,جود زفت سعر رفع
73,ما عندي كلام اقوله غير رائع,positive,ما عندي كلام اقوله غير رائع,ما عند كلم اقل غير رئع
286,المنتج خرب بسرعة جودة ردية,negative,المنتج خرب بسرعه جوده رديه,نتج خرب سرع جود رده
389,المنتج وصل متاخر والجودة سيئة,negative,المنتج وصل متاخر والجوده سيئه,نتج وصل تخر جود سيئ
132,تاخير كبير والتعامل تعبان,negative,تاخير كبير والتعامل تعبان,اخر كبر عمل تعب
133,اسوا تجربة الخدمة زفت,negative,اسوا تجربه الخدمه زفت,اسا جرب خدم زفت
72,خيبة امل كبيرة الخدمة تعبان,negative,خيبه امل كبيره الخدمه تعبان,خيب امل كبر خدم تعب
78,خدمة العملاء اسطوري والتوصيل سريع,positive,خدمه العملاء اسطوري والتوصيل سريع,خدم عملاء سطر وصل سرع
85,الاكل طيب مررررة جميلة والسعر معقول,positive,الاكل طيب مره جميله والسعر معقول,اكل طيب مره جمل سعر عقل
483,المكان سيئة والاسعار غالية بزاف,negative,المكان سيئه والاسعار غاليه بزاف,كان سيئ سعر غلي بزف
84,االمنتج مو حلو ماا يستااهل فلوسه,negative,االمنتج مو حلو ماا يستااهل فلوسه,نتج مو حلو ماا اهل فلس
213,االااكل تعباانة واالخدمة ااسواا,negative,االااكل تعباانه واالخدمه ااسواا,اكل تعب واالخدمه اسا
479,تعاامل تعباانة ماا يحترمون االزبون,negative,تعاامل تعباانه ماا يحترمون االزبون,عامل تعب ماا حرم لزب
256,خدمة االعملااء روعة واالتوصيل سريع,positive,خدمه االعملااء روعه واالتوصيل سريع,خدم االعملااء روع واالتوصيل سرع
343,منتج حلو وانصح الجميع فيه,positive,منتج حلو وانصح الجميع فيه,نتج حلو نصح جمع فيه
38,تعاامل سيئة ماا يحترمون االزبون,negative,تعاامل سيئه ماا يحترمون االزبون,عامل سيئ ماا حرم لزب
175,المنتج وصل بسرعة والجودة روعة,positive,المنتج وصل بسرعه والجوده روعه,نتج وصل سرع جود روع
203,لا انصح ابدا الخدمة خايس,negative,لا انصح ابدا الخدمه خايس,لا نصح ابد خدم خيس
392,تعامل راقي جدااا والخدمة خرافي,positive,تعامل راقي جدا والخدمه خرافي,عمل رقي جدا خدم خرف
423,الجودة تمام والسعر ممتاز,positive,الجوده تمام والسعر ممتاز,جود تمم سعر متز
381,تعامل راقي جدااا والخدمة رائعة,positive,تعامل راقي جدا والخدمه رائعه,عمل رقي جدا خدم رئع
383,للاسف التعامل فاشلة جدا,negative,للاسف التعامل فاشله جدا,اسف عمل فشل جدا
304,منتج جميل واانصح االجميع فيه,positive,منتج جميل واانصح االجميع فيه,نتج جمل نصح جمع فيه
334,تعامل راقي وخدمة قمة,positive,تعامل راقي وخدمه قمه,عمل رقي خدم قمه
299,االمنتج ردية غير االصور,negative,االمنتج رديه غير االصور,نتج رده غير لصر
46,تاخير كبير والتعامل تعبان,negative,تاخير كبير والتعامل تعبان,اخر كبر عمل تعب
299,المنتج وصل بسرعة والجودة حلو,positive,المنتج وصل بسرعه والجوده حلو,نتج وصل سرع جود حلو
181,لا انصح ابدا الخدمة سيء,negative,لا انصح ابدا الخدمه سيء,لا نصح ابد خدم سيء
451,المكان مو زين والنظافة صفر,negative,المكان مو زين والنظافه صفر,كان مو زين نظف صفر
358,االااكل طيب مررررة ممتاازة واالسعر معقول,positive,االااكل طيب مره ممتاازه واالسعر معقول,اكل طيب مره ممتااز سعر عقل
170,للاسف التعامل سيئة جدا,negative,للاسف التعامل سيئه جدا,اسف عمل سيئ جدا
420,بصراحة المكان ممتاز ما توقعت كذا,positive,بصراحه المكان ممتاز ما توقعت كذا,صرح كان متز ما وقع كذا
402,اول مرة اجرب وطلع قمة جدا,positive,اول مره اجرب وطلع قمه جدا,اول مره جرب طلع قمه جدا
216,خدمة العملاء خرافية والتوصيل سريع,positive,خدمه العملاء خرافيه والتوصيل سريع,خدم عملاء خرف وصل سرع
193,المنتج وصل بسرعة والجودة حلوة,positive,المنتج وصل بسرعه والجوده حلوه,نتج وصل سرع جود حله
336,المكان ماشي والاسعار غالية بزاف,negative,المكان ماشي والاسعار غاليه بزاف,كان اشي سعر غلي بزف
130,المنتج ردي ما يستاهل فلوسه,negative,المنتج ردي ما يستاهل فلوسه,نتج ردي ما تهل فلس
461,والله الخدمة ماشي جدا ما انصح,negative,والله الخدمه ماشي جدا ما انصح,ولل خدم اشي جدا ما نصح
150,المكان ردي والاسعار غالية بزاف,negative,المكان ردي والاسعار غاليه بزاف,كان ردي سعر غلي بزف
356,المنتج ماشي ما يستاهل فلوسه,negative,المنتج ماشي ما يستاهل فلوسه,نتج اشي ما تهل فلس
187,انصحكم فيه المكان تمام بزاف,positive,انصحكم فيه المكان تمام بزاف,نصح فيه كان تمم بزف
386,منتج روعة وانصح الجميع فيه,positive,منتج روعه وانصح الجميع فيه,نتج روع نصح جمع فيه
169,تعامل سيئة ما يحترمون الزبون,negative,تعامل سيئه ما يحترمون الزبون,عمل سيئ ما حرم زبن
422,الجودة طيب والسعر ممتاز,positive,الجوده طيب والسعر ممتاز,جود طيب سعر متز
158,خدمة االعملااء سيء لاا يردون,negative,خدمه االعملااء سيء لاا يردون,خدم االعملااء سيء لاا يرد
186,الاكل حلوة والخدمة احسن,positive,الاكل حلوه والخدمه احسن,اكل حله خدم احس
320,اسعار مبالغ فيها والخدمة فاشلة,negative,اسعار مبالغ فيها والخدمه فاشله,سعر بلغ فيه خدم فشل
330,المكان نظيف وجميل واسعاره مناسبة,positive,المكان نظيف وجميل واسعاره مناسبه,كان نظف جمل سعر نسب
482,الله يعطيهم العافية خدمتهم خرافية,positive,الله يعطيهم العافيه خدمتهم خرافيه,الل يعط عفي خدم خرف
7,المكان فاشلة والنظافة صفر,negative,المكان فاشله والنظافه صفر,كان فشل نظف صفر
135,الاكل ممتاز والخدمة احسن,positive,الاكل ممتاز والخدمه احسن,اكل متز خدم احس
124,توصيل خايس وصل متاخر جدا,negative,توصيل خايس وصل متاخر جدا,وصل خيس وصل تخر جدا
182,اسعار مبالغ فيها والخدمة تعبانة,negative,اسعار مبالغ فيها والخدمه تعبانه,سعر بلغ فيه خدم تعب
441,زرت المكان امس والحمد لله كان ممتازة,positive,زرت المكان امس والحمد لله كان ممتازه,زرت كان امس حمد لله كان متز
125,خدمة العملاء خايسة لا يردون,negative,خدمه العملاء خايسه لا يردون,خدم عملاء خيس لا يرد
243,الاكل طيب مررررة حلوة والسعر معقول,positive,الاكل طيب مره حلوه والسعر معقول,اكل طيب مره حله سعر عقل
325,تعامل تعبانة ما يحترمون الزبون,negative,تعامل تعبانه ما يحترمون الزبون,عمل تعب ما حرم زبن
263,تجربة روعة بكل المقاييس,positive,تجربه روعه بكل المقاييس,جرب روع بكل مقاييس
51,تعامل فاشل ما يحترمون الزبون,negative,تعامل فاشل ما يحترمون الزبون,عمل فشل ما حرم زبن
413,زرت المكان امس والحمد لله كان طيب,positive,زرت المكان امس والحمد لله كان طيب,زرت كان امس حمد لله كان طيب
137,المكان فاشلة والاسعار غالية بزاف,negative,المكان فاشله والاسعار غاليه بزاف,كان فشل سعر غلي بزف
311,اسعار مبالغ فيها والخدمة سيئة,negative,اسعار مبالغ فيها والخدمه سيئه,سعر بلغ فيه خدم سيئ
395,افضل مكان في المنطقة الخدمة طيب,positive,افضل مكان في المنطقه الخدمه طيب,فضل كان في طقه خدم طيب
378,الاكل طيب مررررة اسطوري والسعر معقول,positive,الاكل طيب مره اسطوري والسعر معقول,اكل طيب مره سطر سعر عقل
66,منتج حلو وانصح الجميع فيه,positive,منتج حلو وانصح الجميع فيه,نتج حلو نصح جمع فيه
153,اول مرة اجرب وطلع طيبة جدا,positive,اول مره اجرب وطلع طيبه جدا,اول مره جرب طلع طيب جدا
450,الجودة قمة والسعر ممتاز,positive,الجوده قمه والسعر ممتاز,جود قمه سعر متز
478,تعامل راقي وخدمة رائع,positive,تعامل راقي وخدمه رائع,عمل رقي خدم رئع
423,ما انصح احد يروح المكان تعبان,negative,ما انصح احد يروح المكان تعبان,ما نصح احد يرح كان تعب
396,للااسف االتعاامل فااشلة جداا,negative,للااسف االتعاامل فااشله جداا,اسف االتعاامل اشل جدا
112,اسوا تجربة الخدمة فاشل,negative,اسوا تجربه الخدمه فاشل,اسا جرب خدم فشل
159,خدمة العملاء ردية لا يردون,negative,خدمه العملاء رديه لا يردون,خدم عملاء رده لا يرد
274,تعامل راقي وخدمة ممتازة,positive,تعامل راقي وخدمه ممتازه,عمل رقي خدم متز
364,اسوا تجربة الخدمة ماشي,negative,اسوا تجربه الخدمه ماشي,اسا جرب خدم اشي
157,ما شاء الله الخدمة ممتازة والطاقم محترم جدا,positive,ما شاء الله الخدمه ممتازه والطاقم محترم جدا,ما شاء الل خدم متز طقم حرم جدا
65,المنتج سيئة غير الصور,negative,المنتج سيئه غير الصور,نتج سيئ غير صور
38,والله المكان جميل ما تنلقى زيه في صنعاء,positive,والله المكان جميل ما تنلقي زيه في صنعاء,ولل كان جمل ما نلق زيه في صنعاء
253,ما انصح احد يروح المكان تعبانة,negative,ما انصح احد يروح المكان تعبانه,ما نصح احد يرح كان تعب
180,االااكل طيب مررررة تماام واالسعر معقول,positive,االااكل طيب مره تماام واالسعر معقول,اكل طيب مره مام سعر عقل
305,افضل مكان في المنطقة الخدمة قمة,positive,افضل مكان في المنطقه الخدمه قمه,فضل كان في طقه خدم قمه
139,جودة سيئة واالسعر مرتفع,negative,جوده سيئه واالسعر مرتفع,جود سيئ سعر رفع
112,ما عندي كلام اقوله غير روعة,positive,ما عندي كلام اقوله غير روعه,ما عند كلم اقل غير روع
312,خدمة العملاء خرافي والتوصيل سريع,positive,خدمه العملاء خرافي والتوصيل سريع,خدم عملاء خرف وصل سرع
345,تعامل راقي وخدمة طيبة,positive,تعامل راقي وخدمه طيبه,عمل رقي خدم طيب
209,بصراحة المكان خرافي ما توقعت كذا,positive,بصراحه المكان خرافي ما توقعت كذا,صرح كان خرف ما وقع كذا
97,خيبة امل كبيرة الخدمة تعبان,negative,خيبه امل كبيره الخدمه تعبان,خيب امل كبر خدم تعب
282,ماا اانصح ااحد يروح االمكاان تعباان,negative,ماا اانصح ااحد يروح االمكاان تعباان,ماا نصح احد يرح الم تعب
315,خدمة العملاء فاشلة لا يردون,negative,خدمه العملاء فاشله لا يردون,خدم عملاء فشل لا يرد
134,خدمة االعملااء طيب واالتوصيل سريع,positive,خدمه االعملااء طيب واالتوصيل سريع,خدم االعملااء طيب واالتوصيل سرع
495,المنتج وصل متاخر والجودة ردي,negative,المنتج وصل متاخر والجوده ردي,نتج وصل تخر جود ردي
310,الاكل قمة والخدمة احسن,positive,الاكل قمه والخدمه احسن,اكل قمه خدم احس
335,المنتج تعبان ما يستاهل فلوسه,negative,المنتج تعبان ما يستاهل فلوسه,نتج تعب ما تهل فلس
451,الله يعطيهم العافية خدمتهم تمام,positive,الله يعطيهم العافيه خدمتهم تمام,الل يعط عفي خدم تمم
141,المنتج وصل بسرعة والجودة رائعة,positive,المنتج وصل بسرعه والجوده رائعه,نتج وصل سرع جود رئع
380,المكان تعبان والنظافة صفر,negative,المكان تعبان والنظافه صفر,كان تعب نظف صفر
412,االااكل طيب مررررة طيب واالسعر معقول,positive,االااكل طيب مره طيب واالسعر معقول,اكل طيب مره طيب سعر عقل
375,بصراحة المكان خرافي ما توقعت كذا,positive,بصراحه المكان خرافي ما توقعت كذا,صرح كان خرف ما وقع كذا
177,المنتج وصل بسرعة والجودة ممتاز,positive,المنتج وصل بسرعه والجوده ممتاز,نتج وصل سرع جود متز
326,الاكل طيب مررررة جميلة والسعر معقول,positive,الاكل طيب مره جميله والسعر معقول,اكل طيب مره جمل سعر عقل
417,جودة خايسة والسعر مرتفع,negative,جوده خايسه والسعر مرتفع,جود خيس سعر رفع
443,الاكل ردي والخدمة اسوا,negative,الاكل ردي والخدمه اسوا,اكل ردي خدم اسا
264,المنتج وصل بسرعة والجودة قمة,positive,المنتج وصل بسرعه والجوده قمه,نتج وصل سرع جود قمه
139,والله المكان جميلة ما تنلقى زيه في صنعاء,positive,والله المكان جميله ما تنلقي زيه في صنعاء,ولل كان جمل ما نلق زيه في صنعاء
308,والله المكان رائعة ما تنلقى زيه في صنعاء,positive,والله المكان رائعه ما تنلقي زيه في صنعاء,ولل كان رئع ما نلق زيه في صنعاء
255,تجربة طيب بكل المقاييس,positive,تجربه طيب بكل المقاييس,جرب طيب بكل مقاييس
85,المكان تعبان والنظافة صفر,negative,المكان تعبان والنظافه صفر,كان تعب نظف صفر
488,االمنتج خرب بسرعة جودة تعباان,negative,االمنتج خرب بسرعه جوده تعباان,نتج خرب سرع جود تعب
436,تجربة اسطوري بكل المقاييس,positive,تجربه اسطوري بكل المقاييس,جرب سطر بكل مقاييس
183,خدمة العملاء فاشلة لا يردون,negative,خدمه العملاء فاشله لا يردون,خدم عملاء فشل لا يرد
29,االااكل سيئة واالخدمة ااسواا,negative,االااكل سيئه واالخدمه ااسواا,اكل سيئ واالخدمه اسا
56,تعامل راقي وخدمة قمة,positive,تعامل راقي وخدمه قمه,عمل رقي خدم قمه
459,ما عندي كلام اقوله غير رائعة,positive,ما عندي كلام اقوله غير رائعه,ما عند كلم اقل غير رئع
245,الله يعطيهم العافية خدمتهم اسطوري,positive,الله يعطيهم العافيه خدمتهم اسطوري,الل يعط عفي خدم سطر
339,خدمة العملاء ردي لا يردون,negative,خدمه العملاء ردي لا يردون,خدم عملاء ردي لا يرد
312,تجربة فاشل لن اعود مرة ثانية,negative,تجربه فاشل لن اعود مره ثانيه,جرب فشل لن اعد مره ثني
34,تعامل سيئة ما يحترمون الزبون,negative,تعامل سيئه ما يحترمون الزبون,عمل سيئ ما حرم زبن
75,الاكل طيب مررررة اسطوري والسعر معقول,positive,الاكل طيب مره اسطوري والسعر معقول,اكل طيب مره سطر سعر عقل
27,خدمة العملاء ردي لا يردون,negative,خدمه العملاء ردي لا يردون,خدم عملاء ردي لا يرد
453,الاكل طيب مررررة رائع والسعر معقول,positive,الاكل طيب مره رائع والسعر معقول,اكل طيب مره رئع سعر عقل
405,تعامل خايس ما يحترمون الزبون,negative,تعامل خايس ما يحترمون الزبون,عمل خيس ما حرم زبن
199,االمنتج خرب بسرعة جودة ردي,negative,االمنتج خرب بسرعه جوده ردي,نتج خرب سرع جود ردي
270,تعامل تعبانة ما يحترمون الزبون,negative,تعامل تعبانه ما يحترمون الزبون,عمل تعب ما حرم زبن
5,تجربة ردي لن اعود مرة ثانية,negative,تجربه ردي لن اعود مره ثانيه,جرب ردي لن اعد مره ثني
178,اول مرة اجرب وطلع جميل جدا,positive,اول مره اجرب وطلع جميل جدا,اول مره جرب طلع جمل جدا
13,زرت المكان امس والحمد لله كان طيبة,positive,زرت المكان امس والحمد لله كان طيبه,زرت كان امس حمد لله كان طيب
17,تعاامل رااقي جداااااا واالخدمة طيب,positive,تعاامل رااقي جدا واالخدمه طيب,عامل راق جدا واالخدمه طيب
101,جودة فاشلة والسعر مرتفع,negative,جوده فاشله والسعر مرتفع,جود فشل سعر رفع
81,الاكل ردي والخدمة اسوا,negative,الاكل ردي والخدمه اسوا,اكل ردي خدم اسا
60,المنتج خرب بسرعة جودة ماشي,negative,المنتج خرب بسرعه جوده ماشي,نتج خرب سرع جود اشي
83,المكان سيء والنظافة صفر,negative,المكان سيء والنظافه صفر,كان سيء نظف صفر
11,زرت المكان امس والحمد لله كان طيبة,positive,زرت المكان امس والحمد لله كان طيبه,زرت كان امس حمد لله كان طيب
54,المنتج وصل بسرعة والجودة طيبة,positive,المنتج وصل بسرعه والجوده طيبه,نتج وصل سرع جود طيب
293,والله الخدمة خايس جدا ما انصح,negative,والله الخدمه خايس جدا ما انصح,ولل خدم خيس جدا ما نصح
178,ما انصح احد يروح المكان تعبان,negative,ما انصح احد يروح المكان تعبان,ما نصح احد يرح كان تعب
117,المنتج سيء ما يستاهل فلوسه,negative,المنتج سيء ما يستاهل فلوسه,نتج سيء ما تهل فلس
76,المكان نظيف وجميل واسعاره مناسبة,positive,المكان نظيف وجميل واسعاره مناسبه,كان نظف جمل سعر نسب
215,خدمة العملاء ردي لا يردون,negative,خدمه العملاء ردي لا يردون,خدم عملاء ردي لا يرد
110,للاسف التعامل ماشي جدا,negative,للاسف التعامل ماشي جدا,اسف عمل اشي جدا
293,المنتج وصل بسرعة والجودة حلو,positive,المنتج وصل بسرعه والجوده حلو,نتج وصل سرع جود حلو
26,تعامل راقي وخدمة رائعة,positive,تعامل راقي وخدمه رائعه,عمل رقي خدم رئع
323,المنتج فاشلة ما يستاهل فلوسه,negative,المنتج فاشله ما يستاهل فلوسه,نتج فشل ما تهل فلس
279,خدمة العملاء جميل والتوصيل سريع,positive,خدمه العملاء جميل والتوصيل سريع,خدم عملاء جمل وصل سرع
224,افضل مكان في المنطقة الخدمة جميلة,positive,افضل مكان في المنطقه الخدمه جميله,فضل كان في طقه خدم جمل
65,المكان نظيف ورائعة واسعاره مناسبة,positive,المكان نظيف ورائعه واسعاره مناسبه,كان نظف ورع سعر نسب
384,اول مرة اجرب وطلع خرافية جدا,positive,اول مره اجرب وطلع خرافيه جدا,اول مره جرب طلع خرف جدا
